earliest_credit_line,Count
1957-06-01,1
1962-04-01,1
1966-07-01,1
1960-01-01,1
1966-12-01,1
1965-06-01,1
1963-10-01,1
1964-10-01,1
1969-01-01,1
1962-06-01,1
1962-07-01,1
1966-09-01,1
1971-09-01,1
1960-10-01,1
1957-10-01,1
1960-12-01,1
1960-05-01,1
1963-05-01,1
